@RELATION Test

@ATTRIBUTE LOCs numeric
@ATTRIBUTE Churn numeric
@ATTRIBUTE Age numeric
@ATTRIBUTE WeightedAge numeric
@ATTRIBUTE NumOfAuthors numeric
@ATTRIBUTE Revisions numeric
@ATTRIBUTE LOCsTouched numeric
@ATTRIBUTE LOCsAdded numeric
@ATTRIBUTE AvgSetSize numeric
@ATTRIBUTE NumOfFixes numeric
@ATTRIBUTE Buggy {false,true}

@DATA
121,0,1,0,0,0,0,0,2,0,false
327,112,1,106,2,2,106,35,1,0,false
694,248,1,455,3,20,455,143,1,11,true
128,50,1,40,2,2,40,40,1,1,false
170,0,1,0,0,0,0,0,2,0,false
441,0,1,69,3,12,69,52,1,7,false
229,44,1,20,1,4,20,20,1,3,false
39,476,1,15,2,8,15,0,1,4,false
53,77,1,41,1,5,41,1,1,2,false
157,5,1,2,2,2,2,2,1,1,false
124,0,1,0,0,0,0,0,2,0,false
125,2,1,0,1,1,0,0,1,1,false
251,10,1,11,1,1,11,11,1,1,false
521,28,1,11,3,6,11,10,1,5,true
759,71,1,57,2,4,57,55,1,2,true
184,10,1,10,1,3,10,10,1,2,false
47,5,1,0,1,1,0,0,1,0,false
148,0,1,0,2,3,0,0,1,2,false
58,3,1,0,1,1,0,0,1,1,false
132,7,1,18,1,2,18,0,1,1,false
71,0,1,0,0,0,0,0,2,0,false
71,0,1,0,0,0,0,0,2,0,false
802,135,1,48,3,9,48,33,1,6,true
268,60,1,54,3,5,54,54,1,3,false
153,2,1,4,1,1,4,4,1,1,false
134,32,1,3,3,6,3,1,1,5,false
68,15,1,5,1,1,5,5,1,0,false
144,4,1,4,2,2,4,4,1,2,false
159,15,1,16,2,3,16,16,1,3,true
113,22,1,8,2,5,8,5,1,4,false
69,1,1,0,1,1,0,0,1,1,false
74,5,1,22,1,1,22,15,1,1,false
71,0,1,0,0,0,0,0,2,0,false
101,8,1,10,2,2,10,9,1,2,false
249,54,1,56,2,3,56,56,1,2,false
502,161,1,169,2,6,169,169,1,4,false
260,28,1,26,3,4,26,26,1,3,false
158,16,1,29,2,2,29,5,1,2,false
469,8,1,39,2,4,39,15,1,4,false
178,4,1,5,1,1,5,5,1,0,false
133,3,1,3,1,1,3,3,1,1,false
89,0,1,0,1,1,0,0,1,0,false
198,41,1,46,2,3,46,46,1,3,false
151,15,1,0,2,3,0,0,1,3,false
451,97,1,103,2,9,103,101,1,7,false
114,0,1,0,0,0,0,0,2,0,false
467,1,1,5,1,4,5,0,1,0,false
590,83,1,85,3,10,85,77,1,7,false
121,0,1,0,0,0,0,0,2,0,false
164,0,1,0,0,0,0,0,2,0,false
137,0,1,0,0,0,0,0,2,0,false
83,0,1,0,1,1,0,0,1,0,false
227,20,1,14,2,3,14,5,1,1,false
47,0,1,0,0,0,0,0,2,0,false
30,0,1,0,0,0,0,0,2,0,false
83,0,1,0,0,0,0,0,2,0,false
32,0,1,0,0,0,0,0,2,0,false
59,0,1,0,0,0,0,0,2,0,false
83,0,1,0,0,0,0,0,2,0,true
64,0,1,0,0,0,0,0,2,0,false
39,0,1,0,0,0,0,0,2,0,false
44,0,1,0,0,0,0,0,2,0,false
58,0,1,0,0,0,0,0,2,0,false
300,78,1,81,2,3,81,81,1,1,false
115,2,1,3,1,1,3,3,1,1,true
117,2,1,4,1,1,4,4,1,1,true
164,11,1,5,1,1,5,5,1,1,true
41,0,1,0,0,0,0,0,2,0,false
133,32,1,22,1,1,22,22,1,0,false
141,12,1,13,1,1,13,13,1,0,false
53,0,1,0,0,0,0,0,2,0,false
139,1,1,0,1,1,0,0,1,0,true
64,0,1,0,0,0,0,0,2,0,false
32,0,1,0,0,0,0,0,2,0,false
33,0,1,0,0,0,0,0,2,0,false
34,0,1,0,0,0,0,0,2,0,false
82,0,1,0,0,0,0,0,2,0,false
77,0,1,0,0,0,0,0,2,0,false
64,0,1,0,0,0,0,0,2,0,false
101,1,1,4,1,1,4,2,1,1,false
322,7,1,0,1,1,0,0,1,1,false
76,0,1,0,0,0,0,0,2,0,false
49,0,1,0,0,0,0,0,2,0,false
115,3,1,5,1,1,5,5,1,1,false
323,9,1,0,1,1,0,0,1,1,true
222,11,1,11,1,1,11,11,1,1,true
628,87,1,47,1,4,47,47,1,3,true
333,0,1,0,1,1,0,0,1,1,false
91,3,1,3,1,1,3,3,1,1,false
35,0,1,0,0,0,0,0,2,0,false
54,0,1,0,0,0,0,0,2,0,false
55,8,1,9,1,1,9,9,1,1,false
42,0,1,0,0,0,0,0,2,0,false
156,0,1,0,0,0,0,0,2,0,false
43,0,1,0,0,0,0,0,2,0,false
41,0,1,0,0,0,0,0,2,0,false
78,0,1,0,0,0,0,0,2,0,false
124,4,1,5,1,1,5,5,1,1,false
35,0,1,0,0,0,0,0,2,0,false
35,0,1,0,0,0,0,0,2,0,false
50,0,1,0,1,1,0,0,1,1,false
141,0,1,0,0,0,0,0,2,0,true
5961,119,1,0,1,1,0,0,1,0,true
123,0,1,0,0,0,0,0,2,0,false
37,0,1,0,1,1,0,0,1,1,false
35,0,1,0,0,0,0,0,2,0,false
79,0,1,0,0,0,0,0,2,0,true
84,0,1,0,0,0,0,0,2,0,true
70,0,1,0,0,0,0,0,2,0,true
87,0,1,0,0,0,0,0,2,0,false
37,0,1,0,0,0,0,0,2,0,false
255,9,1,8,1,2,8,8,1,2,false
28,0,1,0,1,1,0,0,1,1,false
94,0,1,0,0,0,0,0,2,0,false
30,0,1,0,0,0,0,0,2,0,false
69,4,1,4,1,1,4,4,1,1,false
23,0,1,0,0,0,0,0,2,0,false
23,0,1,0,0,0,0,0,2,0,false
31,5,1,7,1,2,7,7,1,2,false
464,5,1,8,1,2,8,8,1,1,true
57,3,1,3,1,1,3,3,1,0,false
26,0,1,0,0,0,0,0,2,0,false
61,8,1,8,1,1,8,8,1,0,false
33,0,1,0,0,0,0,0,2,0,false
67,9,1,9,1,1,9,9,1,0,true
146,14,1,14,1,1,14,14,1,0,true
72,10,1,9,1,1,9,9,1,0,true
380,45,1,59,1,3,59,58,1,2,false
67,0,1,0,0,0,0,0,2,0,false
140,1,1,1,1,1,1,1,1,0,false
772,153,1,171,1,3,171,169,1,2,false
64,0,1,0,0,0,0,0,2,0,false
78,0,1,0,0,0,0,0,2,0,false
21,0,1,0,0,0,0,0,2,0,false
408,51,1,54,1,2,54,52,1,1,false
49,0,1,0,0,0,0,0,2,0,false
50,0,1,0,0,0,0,0,2,0,false
85,3,1,3,1,1,3,3,1,0,false
26,0,1,0,0,0,0,0,2,0,false
67,0,1,0,0,0,0,0,2,0,false
618,35,1,40,1,3,40,40,1,1,true
55,0,1,0,0,0,0,0,2,0,false
32,0,1,0,0,0,0,0,2,0,false
56,0,1,0,0,0,0,0,2,0,false
98,0,1,0,0,0,0,0,2,0,false
147,10,1,12,1,2,12,12,1,2,false
30,0,1,0,1,1,0,0,1,1,false
49,0,1,0,0,0,0,0,2,0,false
52,0,1,0,0,0,0,0,2,0,false
110,4,1,6,1,1,6,4,1,1,false
63,0,1,0,1,1,0,0,1,1,false
72,0,1,0,0,0,0,0,2,0,false
61,0,1,0,0,0,0,0,2,0,false
42,0,1,0,0,0,0,0,2,0,false
52,0,1,0,0,0,0,0,2,0,false
76,14,1,1,1,1,1,1,1,0,false
332,166,1,219,1,3,219,217,1,3,false
44,0,1,0,0,0,0,0,2,0,false
530,144,1,136,1,4,136,136,1,3,false
33,0,1,0,0,0,0,0,2,0,false
66,0,1,0,0,0,0,0,2,0,false
74,20,1,22,1,1,22,22,1,1,false
28,0,1,0,0,0,0,0,2,0,false
52,0,1,0,0,0,0,0,2,0,false
100,4,1,4,1,1,4,4,1,1,false
28,0,1,0,1,1,0,0,1,1,false
195,0,1,0,0,0,0,0,2,0,false
171,4,1,4,1,1,4,4,1,1,false
73,4,1,5,1,1,5,5,1,1,false
24,0,1,0,0,0,0,0,2,0,false
48,4,1,5,1,1,5,5,1,1,false
389,15,1,17,1,2,17,17,1,2,false
79,0,1,0,0,0,0,0,2,0,false
30,0,1,0,1,1,0,0,1,1,false
84,0,1,0,0,0,0,0,2,0,false
66,0,1,0,0,0,0,0,2,0,false
191,191,0,0,1,3,215,215,1,0,false
247,247,0,0,1,2,271,271,1,0,false
389,389,0,0,3,4,447,447,1,0,false
41,41,0,0,2,2,51,51,1,0,false
28,28,0,0,2,2,31,31,1,0,false
175,175,0,0,1,2,196,196,1,0,false
38,38,0,0,1,1,40,40,1,0,false
345,345,0,0,3,4,379,379,1,0,false
446,446,0,0,3,7,509,509,1,0,false
28,28,0,0,1,1,32,32,1,0,false
59,59,0,0,1,2,66,66,1,0,false
158,158,0,0,2,4,187,187,1,0,false
528,528,0,0,2,3,576,576,1,0,false
132,132,0,0,1,3,158,158,1,0,false
24,24,0,0,1,2,27,27,1,0,false
729,729,0,0,3,7,788,788,1,0,false
51,51,0,0,1,1,60,60,1,0,false
74,74,0,0,1,2,88,88,1,0,false
47,47,0,0,1,2,52,52,1,0,false
78,78,0,0,1,1,91,91,1,0,false
24,24,0,0,1,1,27,27,1,0,false
78,78,0,0,1,2,88,88,1,0,false
121,121,0,0,1,1,132,132,1,0,false
208,208,0,0,1,1,236,236,1,0,false
75,75,0,0,1,1,90,90,1,0,false
48,48,0,0,1,1,58,58,1,0,false
615,615,0,0,1,2,665,665,1,0,false
50,50,0,0,1,1,55,55,1,0,false
31,31,0,0,1,1,36,36,1,0,false
370,370,0,0,2,3,400,400,1,0,false
380,380,0,0,1,2,425,425,1,0,false
905,905,0,0,1,2,1041,1041,1,0,false
81,81,0,0,1,1,92,92,1,0,false
328,328,0,0,1,2,355,355,1,0,false
41,41,0,0,1,2,51,51,1,0,false
27,27,0,0,1,1,31,31,1,0,false
34,34,0,0,1,1,37,37,1,0,false
24,24,0,0,1,1,27,27,1,0,false
38,38,0,0,1,1,48,48,1,0,false
62,62,0,0,1,1,77,77,1,0,false
52,52,0,0,1,1,63,63,1,0,false
159,159,0,0,1,2,191,191,1,0,false
53,53,0,0,1,1,64,64,1,0,false
39,39,0,0,1,1,45,45,1,0,false
